50 3
19 3 1811
694 60 689
859 34 1703
152 80 855
1502 43 1327
1263 43 1696
1310 89 892
956 83 1161
616 11 332
543 56 56
1449 43 479
1885 86 1484
1788 98 918
874 45 1097
1175 7 382
762 65 1613
821 79 1797
1682 54 485
1246 96 332
928 33 1568
911 31 827
1819 83 1444
1892 59 1667
1459 41 1183
95 26 1378
1545 16 680
1037 71 1416
179 39 1264
1326 96 92
293 31 1549
1245 62 103
1058 58 164
995 34 138
1486 44 520
129 15 1007
1095 10 901
1460 55 1213
1057 64 1136
1770 3 572
733 40 1138
1753 84 1624
697 54 224
376 29 857
72 78 1702
343 53 1467
431 17 1102
1016 56 550
1331 65 712
1039 27 453
1701 98 1409
