50 3
0 26 426
657 31 1441
1676 16 326
737 34 1476
453 38 263
357 84 585
639 67 1329
895 56 413
1609 8 1290
297 64 90
784 49 946
1708 44 245
580 26 1219
1166 88 574
1723 14 115
1725 27 738
1726 46 1254
207 51 1893
704 66 875
1722 37 803
353 18 1238
1447 47 1442
1227 63 1730
1805 3 695
158 55 360
1098 64 6
875 81 214
27 63 1023
1387 18 853
31 97 1032
623 26 77
1009 64 1595
918 66 1468
1170 49 1362
928 14 282
1646 10 612
718 93 407
1771 19 1196
1889 68 742
969 59 412
1215 98 228
1086 8 746
980 60 448
1333 48 156
25 26 822
967 98 1713
926 82 1148
411 25 1760
631 35 1278
1132 9 1027
