    50     3
    90    22   785
   686    33   126
   176     2   114
    21     7   516
   716    41    22
   807    45   470
   565    38   546
   103    33    28
   564    35   357
   418    42   333
   577    39   636
   248    10    82
   328    17     8
   446    13   765
   656    30   798
   659    35   113
   394     1   243
   317    46   116
   132    45   178
   190    23   291
   249    46    88
   250    47   297
   792    49   541
   246    48   573
   786    43   481
   758     2   124
   216    18   306
   184    28   709
   810    28   434
   686    35   658
   206     9   263
   839    42   306
   113    27   807
   175    33   278
   720     6   141
    80    45   568
   201    46   766
   234    21   307
   333    24    55
   255    44   257
   504    47   559
    22    22   730
   245    36   636
   239    14    55
   683     8   117
   509     7   809
   464    13    39
   159    46   596
   242    35   428
   585     7   197
